title,n_enrolled,course_type,Level,subject,language,price
"understanding agribusiness, value chains, and consumers in global food systems","14,052",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $199 usd
unlocking information security: part ii,"6,426",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
human rights defenders,"27,338",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
product design: the delft design approach,"87,539",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $79 usd
introduction to psychology | 心理学概论,"30,731",self-paced on your time,introductory,philosophy & ethics,中文,free-add a verified certificate for $139 usd
circuits and electronics 3: applications,"9,347",self-paced on your time,intermediate,electronics,english,free-add a verified certificate for $169 usd
vaccines: from smallpox to technologies of the future,"6,166",self-paced on your time,intermediate,medicine,english,free-add a verified certificate for $49 usd
le management,"6,273",self-paced on your time,introductory,business & management,français,free-add a verified certificate for $149 usd
circular economy for a sustainable built environment,"8,032",self-paced on your time,intermediate,architecture,english,free-add a verified certificate for $50 usd
agile innovation and problem solving skills,"12,667",self-paced on your time,advanced,engineering,english,free-add a verified certificate for $199 usd
international investment law,"23,335",instructor-led on a course schedule,advanced,law,english,free-add a verified certificate for $150 usd
animation and cgi motion,"36,827",instructor-led on a course schedule,advanced,computer science,english,free-add a verified certificate for $249 usd
terrorism and counterterrorism,"28,580",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
découvrir le marketing,"30,030",instructor-led on a course schedule,intermediate,business & management,français,free-add a verified certificate for $150 usd
solar energy: photovoltaic (pv) energy conversion,"38,041",instructor-led on a course schedule,advanced,engineering,english,free-add a verified certificate for $250 usd
introduction to actuarial science,"52,667",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
predictionx: lost without longitude,"9,114",self-paced on your time,introductory,history,english,free-add a verified certificate for $49 usd
information technology foundations,"6,388",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $399.60 usd
introducción a la inteligencia artificial de watson,,self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
dealing with power and dynamics: discover your leadership style and influence stakeholders,"16,013",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $125 usd
instructional design and technology: learning theories,"21,296",instructor-led on a course schedule,intermediate,education & teacher training,english,free-add a verified certificate for $299 usd
"algorithms: design and analysis, part 2",,self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
the math of data science: linear algebra,"6,746",self-paced on your time,intermediate,math,english,free-add a verified certificate for $159 usd
introducción al quirófano,,self-paced on your time,intermediate,medicine,español,free-add a verified certificate for $49 usd
the hardware of a quantum computer,"20,052",self-paced on your time,intermediate,physics,english,free-add a verified certificate for $79 usd
grabar y mezclar música,"10,856",self-paced on your time,introductory,music,español,free-add a verified certificate for $49 usd
leadership focused on human flourishing,,self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $149 usd
automata theory,,self-paced on your time,advanced,computer science,english,free-add a verified certificate for $129 usd
¡conceptos básicos de python para data science!,,self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $49 usd
herramientas para el análisis de big data,"8,118",self-paced on your time,intermediate,data analysis & statistics,español,free-add a verified certificate for $49 usd
foundations of central bank law,"6,169",self-paced on your time,intermediate,law,english,free-add a verified certificate for $25 usd
c programming: modular programming and memory management,"18,690",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
enseñanza temprana de matemáticas y ciencias,"8,250",self-paced on your time,introductory,education & teacher training,español,free-add a verified certificate for $25 usd
entrepreneurship 102: what can you do for your customer?,"11,275",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $49 usd
italian language and culture: advanced (2019-2020),"24,667",self-paced on your time,advanced,language,italiano,free-add a verified certificate for $49 usd
introduction to marketing,,self-paced on your time,introductory,business & management,english,free-add a verified certificate for $149 usd
origins of the human mind,"11,812",self-paced on your time,introductory,science,english,free-add a verified certificate for $49 usd
introduction to geometry,"61,824",self-paced on your time,introductory,math,english,free-add a verified certificate for $50 usd
the future of work: preparing for disruption,"43,125",self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $5 usd
clinical reasoning process,"5,367",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $149 usd
datos para la efectividad de las políticas públicas,"80,425",self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $25 usd
media law,"7,253",instructor-led on a course schedule,introductory,art & culture,english,free-add a verified certificate for $249 usd
líderes para la gestión en seguridad ciudadana y justicia,"12,826",self-paced on your time,intermediate,social sciences,español,free-add a verified certificate for $25 usd
"diseña, fabrica y programa tu propio robot","25,024",self-paced on your time,introductory,engineering,español,free-add a verified certificate for $75 usd
pivoting to online teaching: research and practitioner perspectives,"5,289",self-paced on your time,introductory,education & teacher training,english,free-add a verified certificate for $139 usd
circular economy: an interdisciplinary approach,"10,281",self-paced on your time,advanced,business & management,english,free-add a verified certificate for $149 usd
calculus 1b: integration,"44,669",instructor-led on a course schedule,intermediate,math,english,free-add a verified certificate for $100 usd
algorithmic design and techniques,"40,620",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
drinking water treatment,"51,918",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $50 usd
fundamentos de información financiera y contable,"7,789",self-paced on your time,intermediate,economics & finance,español,free-add a verified certificate for $49 usd
les principes de la finance,"44,037",self-paced on your time,intermediate,business & management,français,free-add a verified certificate for $150 usd
music technology foundations,"34,550",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $169 usd
the entrepreneurial mindset,"31,077",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $149 usd
"anatomy: gastrointestinal, reproductive and endocrine systems","26,453",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $49 usd
risk management and credit principles,"9,028",self-paced on your time,advanced,economics & finance,english,free-add a verified certificate for $199 usd
steps in japanese for beginners1 part3,"6,169",self-paced on your time,introductory,language,english,free-add a verified certificate for $99 usd
structural materials: selection and economics,"9,752",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $50 usd
algorithm design and analysis,"39,137",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
estructuras de datos con python,,self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
mandarin chinese for business,"12,384",self-paced on your time,intermediate,language,english,free-add a verified certificate for $149 usd
bases matemáticas: números y terminología,"26,060",self-paced on your time,intermediate,math,español,free-add a verified certificate for $50 usd
arab-islamic history: from tribes to empires,"17,321",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $149 usd
human-computer interaction i: fundamentals & design principles,"9,010",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
modeling and simulation of multibody systems,,instructor-led on a course schedule,intermediate,engineering,english,free-add a verified certificate for $50 usd
the science of parenting,"37,538",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
inclusive teaching: supporting all students in the college classroom,"9,899",self-paced on your time,introductory,education & teacher training,english,free-add a verified certificate for $49 usd
analytics for decision making,"31,031",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $249 usd
principios de análisis e instrumentos financieros,,self-paced on your time,intermediate,economics & finance,español,free-add a verified certificate for $49 usd
energy principles and renewable energy,"19,520",instructor-led on a course schedule,advanced,energy & earth sciences,english,free-add a verified certificate for $375 usd
dna: biology’s genetic code,"35,162",self-paced on your time,intermediate,biology & life sciences,english,free-add a verified certificate for $169 usd
music for wellness,"19,728",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
mining massive datasets,"5,311",self-paced on your time,advanced,computer science,english,free-add a verified certificate for $149 usd
introduction to electrical and electronic engineering - 電気電子工学入門 -,"25,041",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $50 usd
a travel by spanish america: spanish for beginners,,self-paced on your time,introductory,language,español,free-add a verified certificate for $49 usd
introducción a la inteligencia artificial,"11,184",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
introducción a la inteligencia artificial: principales algoritmos,,self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
digital security and human rights,"11,443",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
critical thinking: reasoned decision making,"6,923",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $149 usd
introduction to the internet of things,"7,581",self-paced on your time,introductory,electronics,english,free-add a verified certificate for $50 usd
trading - fundamentals of technical analysis,,self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $199 usd
riñones: conoce sus funciones para mejorar tu salud y calidad de vida,"20,261",self-paced on your time,introductory,medicine,español,free-add a verified certificate for $49 usd
design thinking: empathizing to understand the problem,"13,340",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $299 usd
storytelling in the workplace,,self-paced on your time,introductory,communication,english,free-add a verified certificate for $199 usd
marketing analytics: price and promotion analytics,"41,021",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $249 usd
implementation of data structures,"27,761",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
activism and citizen journalism through media,"7,460",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
electric and conventional vehicles,"22,089",instructor-led on a course schedule,advanced,engineering,english,free-add a verified certificate for $249 usd
big data fundamentals,"40,106",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $199 usd
sustainable food security: the value of systems thinking,"26,600",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $49 usd
knowledge management and big data in business,"69,064",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $50 usd
uso efectivo del tiempo,"6,409",self-paced on your time,introductory,economics & finance,español,free-add a verified certificate for $49 usd
c programming: pointers and memory management,"19,171",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
astrophysics: the violent universe,"65,711",self-paced on your time,intermediate,physics,english,free-add a verified certificate for $50 usd
landscape ecology,"8,644",self-paced on your time,intermediate,environmental studies,english,free-add a verified certificate for $50 usd
iot programming and big data,"21,591",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
aws: getting started with cloud security,"8,192",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
introducción a la gravedad cuántica de lazos,"7,360",self-paced on your time,introductory,science,español,free-add a verified certificate for $50 usd
introduction to the music business,"46,607",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $49 usd
introducción a la programación en c: tipos de datos y estructuras,"13,480",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
visualización de datos y storytelling,"5,980",self-paced on your time,intermediate,data analysis & statistics,español,free-add a verified certificate for $49 usd
negociación exitosa: estrategias y habilidades esenciales (en español),,self-paced on your time,introductory,business & management,español,free-add a verified certificate for $49 usd
"feeding a hungry planet: agriculture, nutrition and sustainability","10,488",self-paced on your time,intermediate,environmental studies,english,free-add a verified certificate for $49 usd
macroeconomics - the basics,,self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $79 usd
fundamentals of financial mathematics and capital budgeting,"5,410",self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $99 usd
gestión participativa: motivación y liderazgo organizacional,"23,441",self-paced on your time,intermediate,business & management,español,free-add a verified certificate for $79 usd
herramientas de ciencia de datos: uso práctico,,self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $39 usd
bienestar para el desarrollo personal y profesional,,self-paced on your time,intermediate,health & safety,español,free-add a verified certificate for $29 usd
energía eléctrica: conceptos y principios básicos,"9,762",self-paced on your time,intermediate,engineering,español,free-add a verified certificate for $49 usd
market segmentation analysis,"17,055",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $99 usd
pensamento crítico: tomada de decisões fundamentadas,,self-paced on your time,introductory,business & management,português,free-add a verified certificate for $149 usd
ap® english literature & composition – part 2: poems,"5,719",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
"electrical, optical & magnetic materials and devices","16,905",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $150 usd
advanced cardiac imaging: cardiac computed tomography (ct),,self-paced on your time,introductory,medicine,english,free-add a verified certificate for $99 usd
how to design a successful business model,"33,656",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
ecodesign for cities and suburbs,"28,472",self-paced on your time,introductory,environmental studies,english,free-add a verified certificate for $99 usd
agile software development,"37,158",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $50 usd
diseño de sistemas de información gerencial para intranet con microsoft access,"9,144",self-paced on your time,intermediate,computer science,español,free-add a verified certificate for $49 usd
essentials of program strategy and evaluation,,self-paced on your time,introductory,philanthropy,english,free-add a verified certificate for $50 usd
gestão de projetos de desenvolvimento,"28,337",self-paced on your time,introductory,business & management,português,free-add a verified certificate for $49 usd
innovation: from plan to product,"12,918",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $249 usd
introduction to database queries,,self-paced on your time,introductory,computer science,english,free-add a verified certificate for $166 usd
climate change: carbon capture and storage,"10,551",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $49 usd
reservoir geomechanics,"5,280",self-paced on your time,introductory,energy & earth sciences,english,free-add a verified certificate for $129 usd
fundamentos de administración estratégica,,self-paced on your time,intermediate,business & management,español,free-add a verified certificate for $49 usd
iot system architecture: design and evaluation,"5,914",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
noongar language and culture,"10,858",self-paced on your time,introductory,language,english,free-add a verified certificate for $139 usd
sorting truth from fiction: civic online reasoning,,instructor-led on a course schedule,introductory,education & teacher training,english,free-add a verified certificate for $49 usd
sustainable food security: food access,"18,943",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
bases matemáticas: integrales,"23,703",self-paced on your time,introductory,math,español,free-add a verified certificate for $50 usd
epidemics ii,"8,565",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $139 usd
derechos humanos: los derechos de las personas refugiadas,"28,398",self-paced on your time,introductory,humanities,español,free-add a verified certificate for $49 usd
sign language science: factors contributing to natural learning,,self-paced on your time,introductory,language,english,free-add a verified certificate for $99 usd
big data analytics,"43,009",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $199 usd
"a-level mathematics for year 13 - course 1: functions, sequences and series, and numerical methods","6,594",self-paced on your time,intermediate,math,english,free-add a verified certificate for $49 usd
ods en la agenda 2030 de las naciones unidas: retos de los objetivos de desarrollo sostenible,"16,028",self-paced on your time,introductory,social sciences,español,free-add a verified certificate for $25 usd
achieving product-market fit,,self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
culture and law: the east asian perspective,,self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
fundamentals of market structure,"32,049",self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $25 usd
protecting children in humanitarian settings,"7,246",self-paced on your time,intermediate,social sciences,english,free-add a verified certificate for $50 usd
how to achieve the sustainable development goals,"12,719",self-paced on your time,intermediate,environmental studies,english,free-add a verified certificate for $49 usd
aprendizaje y enseñanza en la era digital,"16,954",self-paced on your time,intermediate,education & teacher training,español,free-add a verified certificate for $49 usd
from atoms to stars: how physics explains our world,"15,914",self-paced on your time,intermediate,physics,english,free-add a verified certificate for $49 usd
the threat of nuclear terrorism,,self-paced on your time,introductory,history,english,free-add a verified certificate for $50 usd
introducción a matemáticas para finanzas y negocios,,self-paced on your time,advanced,economics & finance,español,free-add a verified certificate for $49.99 usd
ingeniería de aeropuertos: diseño del lado aire según oaci (icao),,self-paced on your time,intermediate,engineering,español,free-add a verified certificate for $75 usd
liderazgo inclusivo,,self-paced on your time,intermediate,business & management,español,free-add a verified certificate for $29 usd
مساق اللّغة العربيّة,,self-paced on your time,introductory,language,اللغة العربية,free-add a verified certificate for $49 usd
"architecture, algorithms, and protocols of a quantum computer and quantum internet","8,330",self-paced on your time,intermediate,physics,english,free-add a verified certificate for $79 usd
contemporary issues in world politics,"11,426",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $59 usd
more fun with prime numbers,"10,604",self-paced on your time,intermediate,math,english,free-add a verified certificate for $49 usd
enterprise selling,"5,020",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $149 usd
climate change: financial risks and opportunities,"9,977",self-paced on your time,intermediate,economics & finance,english,free-add a verified certificate for $79 usd
caer o no caer. el secreto de las estructuras.,"20,939",self-paced on your time,introductory,engineering,español,free-add a verified certificate for $29 usd
mandarin chinese level 2,"8,784",self-paced on your time,introductory,language,english,free-add a verified certificate for $149 usd
design thinking: prototyping and user testing,"10,769",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $299 usd
bases matemáticas: derivadas,"24,301",self-paced on your time,introductory,math,español,free-add a verified certificate for $50 usd
buscar en internet,"27,320",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
big data and education,"14,909",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $169 usd
model-based automotive systems engineering,"13,857",instructor-led on a course schedule,advanced,engineering,english,free-add a verified certificate for $249 usd
introduction to hyperledger blockchain technologies,"138,884",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
mathtrackx: integral calculus,,self-paced on your time,introductory,math,english,free-add a verified certificate for $79 usd
solar energy engineering: comprehensive exams,,self-paced on your time,advanced,engineering,english,free-add a verified certificate for $250 usd
mercados de capital y participantes claves,"7,210",self-paced on your time,introductory,economics & finance,español,free-add a verified certificate for $49 usd
introducción al desarrollo de videojuegos con unity,"27,474",self-paced on your time,intermediate,computer science,español,free-add a verified certificate for $50 usd
incorporating renewable energy in electricity grids,"10,430",self-paced on your time,intermediate,energy & earth sciences,english,free-add a verified certificate for $49 usd
herramientas de la inteligencia de negocios,"24,130",self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $49 usd
overview & management of parkinson’s disease,,self-paced on your time,intermediate,medicine,english,free-add a verified certificate for $49 usd
conociendo los costos,,self-paced on your time,intermediate,economics & finance,español,free-add a verified certificate for $49 usd
sprint planning for faster agile team delivery,"10,654",self-paced on your time,advanced,engineering,english,free-add a verified certificate for $199 usd
introduction to water and climate,"36,320",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $50 usd
the medieval icelandic sagas,"11,176",self-paced on your time,intermediate,humanities,english,free-add a verified certificate for $50 usd
visual presentation,,self-paced on your time,introductory,communication,english,free-add a verified certificate for $199 usd
community engagement: collaborating for change,"11,818",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
introducción al internet de las cosas (iot),"6,322",self-paced on your time,introductory,electronics,español,free-add a verified certificate for $50 usd
"proteins: alignment, analysis and structure","23,560",instructor-led on a course schedule,advanced,biology & life sciences,english,free-add a verified certificate for $249 usd
ai applications with watson,"9,173",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
data analytics and visualization in health care,"7,304",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $249 usd
question everything: scientific thinking in real life,"34,279",self-paced on your time,introductory,math,english,free-add a verified certificate for $59 usd
introduction to lifestyle medicine,"9,002",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $79 usd
"social work practice with individuals, families, and small groups","16,134",self-paced on your time,advanced,social sciences,english,free-add a verified certificate for $199 usd
gateway to medicine: an introduction to the field of medicine|走近医学,"6,938",self-paced on your time,introductory,medicine,中文,free-add a verified certificate for $49 usd
indian & tibetan river of buddhism,"6,738",self-paced on your time,intermediate,humanities,english,free-add a verified certificate for $49.99 usd
compostaje orgánico en casa,,instructor-led on a course schedule,introductory,environmental studies,español,free-add a verified certificate for $29 usd
financial analysis for decision making,"39,156",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
lifestyle medicine treatments of chronic disease – part 1,"5,668",self-paced on your time,intermediate,medicine,english,free-add a verified certificate for $179 usd
building containerized applications on aws,"6,128",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
effective communication for program and project stakeholders and teams,,self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
biobased products for a sustainable (bio)economy,"6,951",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $50 usd
social work practice: advocating social justice and change,"19,603",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
anthropology of current world issues,"44,821",instructor-led on a course schedule,introductory,humanities,english,free-add a verified certificate for $99 usd
buyer behaviour and analysis,"19,717",instructor-led on a course schedule,advanced,communication,english,free-add a verified certificate for $199 usd
idea development: create and implement innovative ideas,"11,501",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $249 usd
analysis of transport phenomena i: mathematical methods,"9,169",instructor-led on a course schedule,advanced,engineering,english,free-add a verified certificate for $149 usd
leading the organization,"14,998",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $249 usd
"financial programming and policies, part 2: program design","19,330",self-paced on your time,intermediate,economics & finance,english,free-add a verified certificate for $25 usd
introduction to open source networking technologies,"17,436",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $169 usd
deep learning essentials,"5,018",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
estadística aplicada a los negocios,"25,295",self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $49 usd
"english for journalists, part 2","22,814",self-paced on your time,intermediate,communication,english,free-add a verified certificate for $49 usd
teaching & learning in the diverse classroom,"7,104",instructor-led on a course schedule,introductory,education & teacher training,english,free-add a verified certificate for $99 usd
fundamentals of microeconomics | fundamentos de microeconomía,"18,456",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $129 usd
migrating to the aws cloud,,self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $49 usd
iot networks and protocols,"22,136",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
"american prophet: the inner life and global vision of martin luther king, jr.",,self-paced on your time,introductory,history,english,free-add a verified certificate for $50 usd
china’s first empires and the rise of buddhism,"46,053",self-paced on your time,introductory,history,english,free-add a verified certificate for $139 usd
apnea y trastornos del sueño,"14,902",self-paced on your time,introductory,health & safety,español,free-add a verified certificate for $49 usd
educación sobre el cambio climático,"23,253",self-paced on your time,introductory,education & teacher training,español,free-add a verified certificate for $25 usd
quantum mechanics: a first course,,instructor-led on a course schedule,advanced,physics,english,free-add a verified certificate for $149 usd
urban sewage treatment,"40,408",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $50 usd
doing gender and why it matters,"6,826",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $99 usd
producción musical y su efecto en la composición,"7,869",self-paced on your time,introductory,music,español,free-add a verified certificate for $49 usd
"principle of semiconductor devices part i: semiconductors, pn junctions and bipolar junction transistors","12,425",self-paced on your time,intermediate,electronics,english,free-add a verified certificate for $70 usd
"19th-century opera: meyerbeer, wagner, & verdi","9,340",self-paced on your time,introductory,music,english,free-add a verified certificate for $99 usd
modelos predictivos con machine learning,"5,102",self-paced on your time,intermediate,computer science,español,free-add a verified certificate for $49 usd
quantitative marketing research,,self-paced on your time,introductory,business & management,english,free-add a verified certificate for $50 usd
les fondements de la stratégie d’entreprise,"33,021",instructor-led on a course schedule,introductory,business & management,français,free-add a verified certificate for $150 usd
solar energy: integration of photovoltaic systems in microgrids,"20,068",instructor-led on a course schedule,advanced,engineering,english,free-add a verified certificate for $250 usd
"automated software testing: unit testing, coverage criteria and design for testability","12,630",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
probability and statistics i:  a gentle introduction to probability,,self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $199 usd
introducción a las ecuaciones diferenciales,"9,868",self-paced on your time,intermediate,math,español,free-add a verified certificate for $49 usd
agile mindset introduction,,self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
tropical coastal ecosystems,"23,031",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
modern china’s foundations: the manchus and the qing,"47,166",self-paced on your time,introductory,history,english,free-add a verified certificate for $139 usd
el método de ciencia de datos,,self-paced on your time,introductory,data analysis & statistics,español,free-add a verified certificate for $39 usd
aws developer: deploying on aws,"25,244",self-paced on your time,advanced,computer science,english,free-add a verified certificate for $149 usd
autonomous mobile robots,"62,362",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $50 usd
gestión por resultados para gobiernos subnacionales,"65,955",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $25 usd
introduction to sociology,"10,412",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $139 usd
transformación digital en las empresas,,self-paced on your time,introductory,business & management,español,free-add a verified certificate for $49 usd
desafios e oportunidades na economia digital,"6,913",self-paced on your time,introductory,economics & finance,português,free-add a verified certificate for $25 usd
"cellular solids part 1: structures, properties and engineering applications","7,186",self-paced on your time,advanced,engineering,english,free-add a verified certificate for $99 usd
introduction to statistical methods for gene mapping,"15,419",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $49 usd
cómo vivir una vida saludable y activa,"8,990",self-paced on your time,introductory,social sciences,español,free-add a verified certificate for $49 usd
mandarin chinese level 3,"8,418",self-paced on your time,intermediate,language,english,free-add a verified certificate for $149 usd
databases: advanced topics in sql,,self-paced on your time,introductory,computer science,english,free-add a verified certificate for $50 usd
data for effective policy making,"13,797",self-paced on your time,introductory,math,english,free-add a verified certificate for $25 usd
c programming: using linux tools and libraries,"13,912",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $49 usd
lernen objekt-orientierter programmierung,"10,657",instructor-led on a course schedule,introductory,computer science,deutsch,free-add a verified certificate for $49 usd
cybersecurity: the ciso's view,"21,507",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
fundamentals of java ee development,"10,129",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
"instructional design: digital media, new tools and technology","16,419",self-paced on your time,intermediate,education & teacher training,english,free-add a verified certificate for $299 usd
molecular biology – part 3: rna processing and translation,"16,520",self-paced on your time,advanced,biology & life sciences,english,free-add a verified certificate for $99 usd
power and responsibility: doing philosophy with superheroes,"8,517",self-paced on your time,introductory,art & culture,english,free-add a verified certificate for $49 usd
aprendizaje automático y ciencia de datos,"13,994",self-paced on your time,intermediate,computer science,español,free-add a verified certificate for $50 usd
sustainable urban freight transport: a global perspective,"7,769",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $50 usd
mathtrackx: statistics,,self-paced on your time,introductory,math,english,free-add a verified certificate for $79 usd
técnicas cuantitativas y cualitativas para la investigación,"29,885",self-paced on your time,intermediate,data analysis & statistics,español,free-add a verified certificate for $65 usd
strategic applications of it project & program management,"17,914",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
advanced bioconductor,"26,063",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $149 usd
what every provider should know: clinical fundamentals,,self-paced on your time,introductory,medicine,english,free-add a verified certificate for $50 usd
análisis e interpretación de información económica y financiera,"5,891",self-paced on your time,intermediate,economics & finance,español,free-add a verified certificate for $49 usd
aws iot: developing and deploying an internet of things,"8,884",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
measuring sustainable development,,self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $25 usd
embedded systems - shape the world: multi-threaded interfacing,"27,814",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $49 usd
hong kong cinema through a global lens | 全球化下的香港电影,"12,458",instructor-led on a course schedule,introductory,humanities,english,free-add a verified certificate for $50 usd
image processing and analysis for life scientists,"8,621",self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $199 usd
la protección del menor,"7,654",self-paced on your time,introductory,law,español,free-add a verified certificate for $49 usd
globalization: past and future,"10,127",self-paced on your time,introductory,history,english,free-add a verified certificate for $25 usd
star trek: inspiring culture and technology,"6,521",self-paced on your time,introductory,history,english,free-add a verified certificate for $40 usd
qué funciona en educación: políticas educativas basadas en evidencia,"15,701",self-paced on your time,introductory,education & teacher training,español,free-add a verified certificate for $25 usd
