title,n_enrolled,course_type,Level,subject,language,price
introduction to linear models and matrix algebra,"92,004",self-paced on your time,intermediate,math,english,free-add a verified certificate for $149 usd
do your venture: entrepreneurship for everyone,"61,989",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $150 usd
el valor de la creatividad y la innovación: la economía naranja,"23,728",self-paced on your time,introductory,art & culture,español,free-add a verified certificate for $25 usd
humanitarian response to conflict and disaster,"119,891",self-paced on your time,introductory,health & safety,english,free-add a verified certificate for $99 usd
"women making history: ten objects, many stories","38,939",self-paced on your time,introductory,history,english,free-add a verified certificate for $99 usd
masterpieces of world literature,"88,789",self-paced on your time,introductory,literature,english,free-add a verified certificate for $149 usd
sql for data science,"39,184",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
el cerebro y las emociones en el lenguaje,"41,279",self-paced on your time,introductory,communication,español,free-add a verified certificate for $49 usd
science & cooking: from haute cuisine to soft matter science (physics),"62,673",self-paced on your time,introductory,physics,english,free-add a verified certificate for $169 usd
python: aprender a programar,"21,613",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
marketing analytics: competitive analysis and market segmentation,"70,682",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $249 usd
malariax: defeating malaria from the genes to the globe,"37,598",self-paced on your time,intermediate,biology & life sciences,english,free-add a verified certificate for $49 usd
entrepreneurship in emerging economies,"113,602",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $125 usd
javascript introduction,"160,112",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
people management,"113,592",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $150 usd
using email for networking in english,"57,208",self-paced on your time,introductory,language,english,free-add a verified certificate for $149 usd
databases: relational databases and sql,"20,502",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $50 usd
c programming: getting started,"104,108",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
supply chain analytics,"145,049",instructor-led on a course schedule,introductory,business & management,english,free-add a verified certificate for $199 usd
programming for the web with javascript,"91,406",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
introduction to digital humanities,"37,501",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
upper-intermediate english: business and industry,"103,704",self-paced on your time,intermediate,language,english,free-add a verified certificate for $50 usd
emsat english preparation - level 1,"29,101",self-paced on your time,introductory,language,english,free-add a verified certificate for $49 usd
python for data science,"266,978",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $350 usd
empathy and emotional intelligence at work,"45,867",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
design thinking and creativity for innovation,"47,549",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $5 usd
china and communism,"69,104",self-paced on your time,introductory,history,english,free-add a verified certificate for $139 usd
mandarin chinese level 1,"56,040",self-paced on your time,introductory,language,english,free-add a verified certificate for $149 usd
introduction to biology - the secret of life,"147,512",instructor-led on a course schedule,introductory,biology & life sciences,english,free-add a verified certificate for $150 usd
photoshop: una herramienta para presentaciones innovadoras,"22,969",self-paced on your time,introductory,art & culture,español,free-add a verified certificate for $19 usd
causal diagrams: draw your assumptions before your conclusions,"50,949",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $99 usd
生活英语听说 | conversational english skills,"301,585",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
shakespeare’s othello: the moor,"31,868",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
basic spanish 2: one step further,"67,687",self-paced on your time,introductory,language,english,free-add a verified certificate for $50 usd
financial market analysis,"37,452",self-paced on your time,intermediate,economics & finance,english,free-add a verified certificate for $25 usd
cs50's computer science for business professionals,"73,208",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $90 usd
gobierno digital,"18,883",self-paced on your time,introductory,social sciences,español,free-add a verified certificate for $25 usd
upper-intermediate english: business and globalization,"58,532",self-paced on your time,intermediate,language,english,free-add a verified certificate for $50 usd
the opioid crisis in america,"54,805",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $99 usd
gestión de proyectos de desarrollo,"306,286",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $49 usd
statistical learning,"27,968",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $50 usd
introduction to social psychology,"79,365",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
artificial intelligence (ai),"265,104",instructor-led on a course schedule,advanced,computer science,english,free-add a verified certificate for $249 usd
american government: constitutional foundations,"35,504",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
introducción a la inversión bursátil,"64,261",self-paced on your time,introductory,economics & finance,español,free-add a verified certificate for $50 usd
japanese books: from manuscript to print,"17,581",self-paced on your time,introductory,art & culture,english,free-add a verified certificate for $100 usd
foundations of modern finance  i,"24,108",instructor-led on a course schedule,advanced,economics & finance,english,free-add a verified certificate for $450 usd
operations management,"126,093",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
marketing management,"80,010",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
marketing enfocado en la estrategia de servicios,"24,618",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $119 usd
introduction to marketing,"169,126",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $150 usd
programming basics,"215,059",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $149 usd
probability and statistics in data science using python,"106,286",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $350 usd
html5 coding essentials and best practices,"241,287",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $199 usd
first nights - beethoven's 9th symphony and the 19th century orchestra,"37,426",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
cell biology: mitochondria,"64,142",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
"algorithms: design and analysis, part 1","20,163",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
introducción al office 365,"16,470",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $75 usd
creative thinking: techniques and tools for success,"54,787",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
upper-intermediate english: business and technology,"47,451",self-paced on your time,intermediate,language,english,free-add a verified certificate for $50 usd
shakespeare's hamlet: the ghost,"38,331",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
flashdiet: aprende a comer sano,"48,105",self-paced on your time,introductory,food & nutrition,español,free-add a verified certificate for $50 usd
cs50's understanding technology,"50,030",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $90 usd
introduction to aerospace structures and materials,"37,126",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $50 usd
visualizing data with python,"42,101",self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $39 usd
success: practical thinking skills,"24,414",self-paced on your time,introductory,philosophy & ethics,english,free-add a verified certificate for $50 usd
english for doing business in asia – speaking,"68,422",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $60 usd
nutrition and health: macronutrients and overnutrition,"208,582",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
"contemporary china: the people's republic, taiwan, and hong kong","66,771",self-paced on your time,introductory,history,english,free-add a verified certificate for $139 usd
introduction to clinical psychology,"57,234",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
modern masterpieces of world literature,"48,049",self-paced on your time,introductory,literature,english,free-add a verified certificate for $99 usd
"citizen politics in america: public opinion, elections, interest groups, and the media","24,259",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
applied scrum for agile project management,"55,293",self-paced on your time,advanced,engineering,english,free-add a verified certificate for $199 usd
corporate finance,"62,798",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
judaism through its scriptures,"50,540",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
excel avanzado: importación y análisis de datos,"47,184",self-paced on your time,advanced,data analysis & statistics,español,free-add a verified certificate for $75 usd
css basics,"95,163",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
unlocking information security: part i,"19,905",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
becoming an effective leader,"55,937",self-paced on your time,intermediate,communication,english,free-add a verified certificate for $99 usd
digital branding and engagement,"122,977",self-paced on your time,intermediate,communication,english,free-add a verified certificate for $99 usd
introduction to cybersecurity,"73,021",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
general academic english|生活英语进阶,"17,526",self-paced on your time,introductory,language,english,free-add a verified certificate for $49 usd
gestión de personas: recursos humanos,"19,687",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $119 usd
from poverty to prosperity: understanding economic development,"91,062",self-paced on your time,intermediate,social sciences,english,free-add a verified certificate for $149 usd
medical terminology,"31,354",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $79 usd
ancient masterpieces of world literature,"48,899",self-paced on your time,introductory,literature,english,free-add a verified certificate for $99 usd
shakespeare's the merchant of venice: shylock,"23,283",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
gestión del estrés y mindfulness,"15,965",self-paced on your time,introductory,health & safety,español,free-add a verified certificate for $49 usd
behavioural economics in action,"66,764",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $139 usd
finance for everyone: smart tools for decision-making,"45,029",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $49 usd
creating innovative business models,"12,227",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $149 usd
u.lab: leading from the emerging future,"79,424",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
electric cars: introduction,"56,171",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $50 usd
inteligencia artificial para todos: domina los fundamentos,"11,764",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
marketing analytics,"55,228",instructor-led on a course schedule,advanced,business & management,english,free-add a verified certificate for $249 usd
introducción a la regulación emocional basada en mindfulness,"20,634",self-paced on your time,introductory,health & safety,español,free-add a verified certificate for $49 usd
design thinking fundamentals,"56,446",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $299 usd
basic spanish 3: getting there,"17,569",self-paced on your time,introductory,language,english,free-add a verified certificate for $50 usd
mi propia huerta orgánica,"11,346",self-paced on your time,introductory,biology & life sciences,español,free-add a verified certificate for $29 usd
sustainability in architecture: an interdisciplinary introduction,"31,352",self-paced on your time,intermediate,architecture,english,free-add a verified certificate for $50 usd
gestión de riesgos en proyectos de desarrollo,"47,676",self-paced on your time,intermediate,business & management,español,free-add a verified certificate for $25 usd
python data structures,"36,369",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
the science and business of biotechnology,"17,039",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $49 usd
finance essentials,"63,666",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $79 usd
introduction to the internet of things (iot),"89,421",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $149 usd
'talk to me': improving mental health and suicide prevention in young adults,"11,481",self-paced on your time,introductory,health & safety,english,free-add a verified certificate for $139 usd
disaster medicine training,"10,937",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $50 usd
nutrition and health: human microbiome,"44,079",self-paced on your time,introductory,health & safety,english,free-add a verified certificate for $49 usd
customer relationship management,"53,085",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $50 usd
islam through its scriptures,"65,430",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
mechatronics revolution: fundamentals and core concepts,"11,619",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $149 usd
accounting for decision-making,"57,710",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
c programming: language foundations,"46,400",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
big data sin misterios,"65,564",self-paced on your time,intermediate,data analysis & statistics,español,free-add a verified certificate for $25 usd
becoming a successful leader (inclusive leadership training),"215,705",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
"english for journalists, part 1","50,847",self-paced on your time,intermediate,communication,english,free-add a verified certificate for $139 usd
introduction to networking,"16,134",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $150 usd
accounting essentials,"58,463",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $79 usd
introduction to java programming: starting to code in java,"325,554",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $149 usd
european paintings: from leonardo to rembrandt to goya,"60,734",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
java programming fundamentals,"12,042",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $49 usd
"hollywood: history, industry, art","50,033",self-paced on your time,introductory,communication,english,free-add a verified certificate for $169 usd
data science tools,"15,627",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
