name,institution,course_id
digital transformation,bcg,bcg-uva-darden-digital-transformation
sequence models,deeplearning.ai,nlp-sequence-models
devenir entrepreneur du changement,hec paris,entrepreneur-changement
seeing through photographs,the museum of modern art,photography
entrepreneurship 1: developing the opportunity,university of pennsylvania,wharton-entrepreneurship-opportunity
introduction to search engine optimization,"university of california, davis",search-engine-optimization
learn to speak korean 1,yonsei university,learn-speak-korean1
circular economy - sustainable materials management,delft university of technology,circular-economy
drug development,university of california san diego,drug-development
r programming,johns hopkins university,r-programming
economics of money and banking,columbia university,money-banking
chinese for beginners,peking university,learn-chinese
grammar and punctuation,"university of california, irvine",grammar-punctuation
japanese for beginners 1,saint petersburg state university,japanese-1
introduction to english common law,university of london,intro-common-law
introduction to dental medicine,university of pennsylvania,dental-medicine-penn
fundamentals of reinforcement learning,alberta machine intelligence institute,fundamentals-of-reinforcement-learning
the power of macroeconomics: economic principles in the real world,"university of california, irvine",principles-of-macroeconomics
corporate sustainability. understanding and seizing the strategic opportunity,università bocconi,corp-sustainability
behavioral finance,duke university,duke-behavioral-finance
"sequences, time series and prediction",deeplearning.ai,tensorflow-sequences-time-series-and-prediction
supply chain logistics,rutgers the state university of new jersey,supply-chain-logistics
project execution,"university of california, irvine",project-execution
nutrición y obesidad: control de sobrepeso,universidad nacional autónoma de méxico,nutricion-obesidad-sobrepeso
microeconomics principles,university of illinois at urbana-champaign,microeconomics
creative writing: the craft of plot,wesleyan university,craft-of-plot
astronomy: exploring time and space,university of arizona,astro
oil & gas industry operations and markets,duke university,oilandgas
design thinking for innovation,university of virginia,uva-darden-design-thinking-innovation
edivet: do you have what it takes to be a veterinarian?,the university of edinburgh,becoming-a-veterinarian
learn to program: the fundamentals,university of toronto,learn-to-program
financial accounting fundamentals,university of virginia,uva-darden-financial-accounting
finding purpose and meaning in life: living for what matters most,university of michigan,finding-purpose-and-meaning-in-life
understanding clinical research: behind the statistics,university of cape town,clinical-research
epidemiology: the basic science of public health,the university of north carolina at chapel hill,epidemiology
fashion as design,the museum of modern art,fashion-design
teamwork skills: communicating effectively in groups,university of colorado boulder,teamwork-skills-effective-communication
feminism and social justice,"university of california, santa cruz",feminism-social-justice
international organizations management,university of geneva,international-organizations-management
marketing digital,universidade de são paulo,estrategia-marketing-digital
fundamentals of gis,"university of california, davis",gis
e-learning ecologies: innovative approaches to teaching and learning for the digital age,university of illinois at urbana-champaign,elearning
"excel/vba for creative problem solving, part 1",university of colorado boulder,excel-vba-for-creative-problem-solving-part-1
rethinking international tax law,universiteit leiden,international-taxation
introduction to probability and data with r,duke university,probability-intro
understanding and visualizing data with python,university of michigan,understanding-visualization-data
fundamentals of visualization with tableau,"university of california, davis",data-visualization-tableau
getting started with sas programming,sas,sas-programming-basics
machine learning for all,university of london,uol-machine-learning-for-all
using databases with python,university of michigan,python-databases
addiction treatment: clinical skills for healthcare providers,yale university,addiction-treatment
dino 101: dinosaur paleobiology,university of alberta,dino101
sports marketing,northwestern university,sports-marketing
positive psychology,the university of north carolina at chapel hill,positive-psychology
introduction to programming with matlab,vanderbilt university,matlab
preparing to manage human resources,university of minnesota,managing-human-resources
solar energy basics,the state university of new york,solar-energy-basics
front-end web ui frameworks and tools: bootstrap 4,the hong kong university of science and technology,bootstrap-4
building scalable java microservices with spring boot and spring cloud,google cloud,google-cloud-java-spring
introduction to forensic science,"nanyang technological university, singapore",forensic-science
google cloud product fundamentals,google cloud,google-cloud-product-fundamentals
american contract law i,yale university,contracts-1
engineering health: introduction to yoga and physiology,new york university,engineering-health-yoga-physiology
ai for medical diagnosis,deeplearning.ai,ai-for-medical-diagnosis
natural language processing with sequence models,deeplearning.ai,sequence-models-in-nlp
introduction to electronics,georgia institute of technology,electronics
international humanitarian law in theory and practice,universiteit leiden,international-humanitarian-law
making architecture,ie school of architecture & design,making-architecture
model thinking,university of michigan,model-thinking
supporting children with difficulties in reading and writing,university of london,dyslexia-difficulties
innovation management,erasmus university rotterdam,innovation-management
the manager's toolkit: a practical guide to managing people at work,"birkbeck, university of london",people-management
"the modern world, part one: global history from 1760 to 1910",university of virginia,modern-world
fundamentals of music theory,the university of edinburgh,edinburgh-music-theory
supply chain principles,georgia institute of technology,supply-chain-principles
essential google cloud infrastructure: core services,google cloud,gcp-infrastructure-core-services
weight management: beyond balancing calories,emory university,weight-management-beyond-balancing-calories
miracles of human language: an introduction to linguistics,universiteit leiden,human-language
java programming: solving problems with software,duke university,java-programming
race and cultural diversity in american life and history,university of illinois at urbana-champaign,race-cultural-diversity-american-life
inspiring and motivating individuals,university of michigan,motivate-people-teams
"competencias digitales. herramientas de ofimática (microsoft word, excel, power point)",universitat autònoma de barcelona,competencias-digitales-ofimatica
healing with the arts,university of florida,healing-with-the-arts
people analytics,university of pennsylvania,wharton-people-analytics
what is social?,northwestern university,what-is-social
ux design fundamentals,california institute of the arts,ux-design-fundamentals
creative thinking: techniques and tools for success,imperial college london,creative-thinking-techniques-and-tools-for-success
introduction to classical music,yale university,introclassicalmusic
